X1,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,BusinessAcceptsCreditCards,BikeParking,GoodForKids,ByAppointmentOnly,RestaurantsPriceRange2,DogsAllowed,RestaurantsTakeOut,RestaurantsReservations,RestaurantsGoodForGroups,HasTV,RestaurantsDelivery,OutdoorSeating,Caters,WheelchairAccessible,RestaurantsTableService,HappyHour,BusinessAcceptsBitcoin,BYOB,Corkage,GoodForDancing,CoatCheck,DriveThru,AgesAllowed,RestaurantsCounterService,Open24Hours,alcohol_beer_and_wine,alcohol_full_bar,alcohol_none,touristy,hipster,romantic,intimate,trendy,upscale,classy,casual,divey,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,bn_monday,bn_tuesday,bn_friday,bn_wednesday,bn_thursday,bn_sunday,bn_saturday,garage,street,validated,lot,valet,byobcorkage_no,byobcorkage_yes_corkage,byobcorkage_yes_free,dairy-free,gluten-free,vegan,kosher,halal,soy-free,vegetarian,music_dj,music_background_music,music_no_music,music_jukebox,music_live,music_video,music_karaoke,wifi_free,wifi_no,wifi_paid
387,1BQzXcXFxR6MlVIYmG93kw,Zandru's,419 State St,Madison,WI,53703,43.074723999999996,-89.39259799999999,3.5,22,0,"Spanish, Tapas Bars, Mediterranean, Restaurants, Tapas/Small Plates","{'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}",1,0,0,,2,0,1,0,1,1,1,1,0,1,1,,0,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
463,Iq1P8S3--gqd50xoQJxpqA,Blended,717 Hilldale Way,Madison,WI,53705,43.0729301199,-89.4532138687,4.5,65,1,"Gluten-Free, Specialty Food, Fruits & Veggies, Restaurants, Food, Fast Food, Juice Bars & Smoothies, Vegan","{'Monday': '8:0-19:0', 'Tuesday': '8:0-19:0', 'Wednesday': '8:0-19:0', 'Thursday': '8:0-19:0', 'Friday': '8:0-19:0', 'Saturday': '8:0-19:0', 'Sunday': '10:0-18:0'}",1,1,1,0,2,,1,0,0,0,0,1,1,1,0,0,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
2218,nsw3tlB-hwz4KbPYcuaSww,Novanta,8452 Old Sauk Rd,Madison,WI,53562,43.075373344300004,-89.5296266589,4.5,250,1,"Mediterranean, Pizza, American (New), Restaurants, Italian","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}",1,1,1,,2,0,1,0,0,1,0,1,1,1,,0,0,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
2266,cprIQ1e2be5LD7jpPEyiSw,McDonald's,3051 E Washington Ave,Madison,WI,53704,43.104087,-89.340903,3,7,0,"Burgers, Restaurants, Fast Food",,1,1,1,,1,,1,0,1,1,0,0,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
2531,6yE-QYVLXMZ2DuJmWecjlg,Asian Noodle,902 Regent St,Madison,WI,53715,43.067818700000004,-89.40131679999999,4.5,10,1,"Restaurants, Asian Fusion, Noodles","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,1,,,,,1,,,1,1,0,1,1,1,0,,1,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
2818,utQbhURq2LEPZX7XjmYB3g,Mildred's Sandwich Shop,827 E Johnson St,Madison,WI,53703,43.0837395,-89.3768968,4,17,0,"Restaurants, Sandwiches","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",0,,1,,1,,1,0,0,,0,1,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
3002,AIEyiX9-yfXQgvLOtBgFgA,Paco's Tacos,1331 Greenway Cross,Madison,WI,53713,43.030984000000004,-89.40554509999998,4,27,1,"Mexican, Restaurants","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",1,1,1,,2,,1,0,1,1,0,0,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
3015,TQqhfjlPVEz41K_wAogQSQ,Luigi's,515 S Midvale Blvd,Madison,WI,53711,43.054851899999996,-89.450401,3.5,123,1,"Restaurants, Pizza, Italian","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",1,1,1,,2,,1,0,1,0,1,1,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
3430,M8jR5XMgr2jWrs_EYtaAeQ,The Original Vientiane Palace,1441 Regent St,Madison,WI,53711,43.06769439999999,-89.4107334,4,14,0,"Thai, Restaurants",,1,,0,,2,,1,0,1,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
3629,jsGXGJcJWw0ZYCuaYLeFKQ,The Angry Rooster,2616 Monroe St,Madison,WI,53711,43.0577149,-89.4283703,3,9,1,"Restaurants, Chicken Shop","{'Tuesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-14:0'}",,,,,,,,0,,,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
